# 9-point isotropic stencil, Laplace equation on unit square
# BC: u = 4*x*(1-x) on top edge (y=1); u = 0 elsewhere
# Columns: x   y   u_numerical   u_exact
#
   6.666667E-01   5.714286E-01   2.265394E-01   2.265399E-01
   7.142857E-01   5.714286E-01   2.048055E-01   2.048059E-01
   7.619048E-01   5.714286E-01   1.784501E-01   1.784506E-01
   8.095238E-01   5.714286E-01   1.480190E-01   1.480194E-01
   8.571429E-01   5.714286E-01   1.141656E-01   1.141659E-01
   9.047619E-01   5.714286E-01   7.764265E-02   7.764291E-02
   9.523810E-01   5.714286E-01   3.928761E-02   3.928775E-02
   1.000000E+00   5.714286E-01   0.000000E+00   3.228975E-17

   0.000000E+00   6.190476E-01   0.000000E+00   0.000000E+00
   4.761905E-02   6.190476E-01   4.608464E-02   4.608483E-02
   9.523810E-02   6.190476E-01   9.105158E-02   9.105193E-02
   1.428571E-01   6.190476E-01   1.338285E-01   1.338290E-01
   1.904762E-01   6.190476E-01   1.734271E-01   1.734276E-01
   2.380952E-01   6.190476E-01   2.089700E-01   2.089705E-01
   2.857143E-01   6.190476E-01   2.397065E-01   2.397071E-01
   3.333333E-01   6.190476E-01   2.650183E-01   2.650189E-01
   3.809524E-01   6.190476E-01   2.844187E-01   2.844192E-01
   4.285714E-01   6.190476E-01   2.975486E-01   2.975491E-01
   4.761905E-01   6.190476E-01   3.041720E-01   3.041725E-01
   5.238095E-01   6.190476E-01   3.041720E-01   3.041725E-01
   5.714286E-01   6.190476E-01   2.975486E-01   2.975491E-01
   6.190476E-01   6.190476E-01   2.844187E-01   2.844192E-01
   6.666667E-01   6.190476E-01   2.650183E-01   2.650189E-01
   7.142857E-01   6.190476E-01   2.397065E-01   2.397071E-01
   7.619048E-01   6.190476E-01   2.089700E-01   2.089705E-01
   8.095238E-01   6.190476E-01   1.734271E-01   1.734276E-01
   8.571429E-01   6.190476E-01   1.338285E-01   1.338290E-01
   9.047619E-01   6.190476E-01   9.105158E-02   9.105193E-02
   9.523810E-01   6.190476E-01   4.608464E-02   4.608483E-02
   1.000000E+00   6.190476E-01   0.000000E+00   3.787957E-17

   0.000000E+00   6.666667E-01   0.000000E+00   0.000000E+00
   4.761905E-02   6.666667E-01   5.400714E-02   5.400742E-02
   9.523810E-02   6.666667E-01   1.066648E-01   1.066653E-01
   1.428571E-01   6.666667E-01   1.566888E-01   1.566894E-01
   1.904762E-01   6.666667E-01   2.029122E-01   2.029129E-01
   2.380952E-01   6.666667E-01   2.443184E-01   2.443191E-01
   2.857143E-01   6.666667E-01   2.800543E-01   2.800549E-01
   3.333333E-01   6.666667E-01   3.094300E-01   3.094306E-01
   3.809524E-01   6.666667E-01   3.319114E-01   3.319119E-01
   4.285714E-01   6.666667E-01   3.471094E-01   3.471100E-01
